EventId,Mean,STDDEVI,STDDEVC,EXPVAL,RATE
2874085,7696461.59007486,2785759.50516607,9840031.43608408,5690789646,2.73435369021752E-06
2874087,4033344.72577554,1597121.11013721,5717591.37289222,4207118025,0.000190950671112716
2874090,10033095.4846476,2514528.04417042,14810676.9989929,10594244427,7.88210329340684E-06
2874092,10964664.4798997,4269371.64746126,10417655.1112676,4394293757.3524,5.73533641181766E-06
2874094,36915684.1540557,8753753.01237644,27118350.8343143,2940459309.4393,1.25284704582369E-05
2874095,245886.932378884,204536.591502556,368727.058669076,1528804566,2.13806467516871E-05
2874096,60551682.3367566,11716593.3610773,35624662.7467294,3111308651.424,4.59327837262721E-05
2874097,1246216.7011909,770499.333660042,1791696.47408486,3643003607.86,2.08344366748428E-07
2874099,98808792.50249,15457721.6667973,45759087.3624903,3293427736.716,0.000293912743269523
2874101,2127.39912640166,1308.43228806488,3191.09868960248,1727788296,5.12011407972376E-05
2874102,313192152.188077,25775790.6627594,284074978.957675,43272713097.7465,1.0769539930807E-06
2874103,78416469.0050662,10775909.235221,87297323.9713265,47635778758.5602,6.89128053598612E-06
2874105,345129814.376231,28320473.6794513,206868249.012731,10737686308.2364,5.48595123834195E-06
2874106,41935160.20924,6382541.29081382,55188942.1765632,47105338590,8.45447049605672E-06
2874107,328135678.415029,28080633.2587786,168832622.568206,4481008260.432,1.451823259948E-05
2874110,10401995.0111462,2137084.39355006,15487464.0594202,29849472042,4.8096911378723E-05
2874111,10123386.5407135,3804063.03047801,11483087.5374051,2711958381,4.31895783907807E-05
2874113,19812976.8849874,6502679.70283894,15402848.7882486,4944514329.2294,1.94161120164344E-07
2874114,3636212.59340615,846064.463967379,5454102.27520673,13455937071,1.23631916025139E-05
2874115,384541892.660994,29200113.7628191,293280452.789874,62008496082.8945,1.15131686125282E-05
2874116,40488599.8389612,9517019.35419606,29382879.5231251,5252707255.5954,2.43167833515784E-05
2874117,20224502.7021444,6384664.76539933,19130834.2463186,3203830601.304,1.65760260572717E-05
2874120,1142956.01912537,466294.919730834,1714315.41890859,4207118025,3.09875668523355E-06
