EventId,Mean,STDDEVI,STDDEVC,EXPVAL,RATE
2848468,41625.1677496414,71624.6781787204,62437.751624462,234220581,1.70345140767975E-05
2848469,106977.645250984,284147.80022731,142342.038803521,144371829,2.39989387887718E-06
2848471,3813041.10843887,2681136.34598567,2197252.50007529,390214605.349,3.55003692346775E-06
2848472,20708917.2941393,7322409.07397372,9145724.73863208,197257037.5095,4.67229264921862E-05
2848473,871761.90629408,1091794.72858167,1009876.41621871,331312981.8933,1.85717081126863E-05
2848474,1197066.91885679,645450.372549834,1737721.00566218,4415507085,2.1552474818471E-05
2848475,4272176.34726962,2975742.45108882,1943495.933956,146958441.9267,1.13290495642463E-05
2848476,1223432.09275784,1259784.17579663,1215274.54710632,297266469,1.33882329719553E-05
2848477,543521.171701706,787907.829847802,631479.559433319,201128256.9744,4.65800870120232E-05
2848478,69670.4309128538,102491.949635968,104505.510008766,361246977.7881,3.26809073075088E-07
2848479,5892.46431253102,24843.8316772385,8838.69646879654,45717211.632,4.13453959185576E-06
2848480,60176.6369931048,115819.039252496,90031.136601741,206776263.4248,1.6764249024176E-05
2848482,53.8134766751295,457.414551738601,80.7202150126943,9007464,2.74603578273994E-05
2848483,4980.28519687983,19134.7593648799,7470.42779531974,46446379.7448,8.09726866989314E-06
2848484,4690246.70589331,3188093.24552626,2705863.52927955,271281818.7052,1.19475356655233E-05
2848486,6415339.50405024,3863960.59324111,3165134.35131198,393938247.6092,6.19975214279212E-05
2848487,1109998.46490787,1176196.30990575,1134536.75905664,351436020,1.88615041450011E-05
2848488,65679.818334165,97454.349994024,98501.6533326621,387792420,1.68117699511512E-06
2848489,10792232.2197485,5284370.5403956,4328131.39284066,386293737.5091,2.11801307040012E-05
2848490,103113085.963325,13710405.5404749,22117501.3368379,351378313.1332,1.27138476619558E-05
2848491,3803410.60004959,2921412.1664619,2372991.85525558,285678499.4947,7.51787707792016E-06
2848493,26665.3721748935,62734.1202152039,39998.0582623403,144371829,0.000203960950489363
2848494,1824012.41098376,1760842.39451657,1373439.13692208,236674087.8339,7.67271694322332E-06
2848495,340306.501941399,632515.937822417,363619.397738684,144371829,1.09244881317587E-05
2848501,359269.024647359,695521.211555866,380132.112739259,90448002,5.21937957846477E-06
2848503,5154073.4028033,3328039.27540694,3105910.54030932,385758716.0052,4.74091232601875E-05
